date,lbma_am_usd
2023-04-17,2009.8
2023-04-19,1976.1
2023-04-21,1986.1
2023-04-25,1990.2
2023-04-27,1997.65
2023-05-03,2016.9
2023-05-05,2038.9
2023-05-09,2025.6
2023-05-11,2025.75
2023-05-15,2015.3
2023-05-17,1985.75
2023-05-19,1965.55
2023-05-23,1959.65
2023-05-25,1962.3
2023-05-31,1959
2023-06-02,1981
2023-06-06,1961.9
2023-06-08,1947.25
2023-06-12,1964.15
2023-06-14,1951.9
2023-06-16,1964.1
2023-06-22,1927.95
2023-06-26,1930.55
2023-06-28,1909.85
2023-06-30,1903.55
2023-07-04,1929.75
2023-07-06,1919.15
2023-07-10,1925.05
2023-07-12,1935.75
2023-07-14,1956.5
2023-07-18,1961.95
2023-07-20,1981.5
2023-07-24,1964.75
2023-07-26,1972
2023-07-28,1950.15
2023-08-01,1956.75
2023-08-03,1936.9
2023-08-07,1936.9
2023-08-09,1928.4
2023-08-11,1918.05
2023-08-15,1904.1
2023-08-17,1893.95
2023-08-21,1890.1
2023-08-23,1904.55
2023-08-25,1917.85
2023-08-29,1923.5
2023-08-31,1944.2
2023-09-04,1942.05
2023-09-06,1923.45
2023-09-08,1925.55
2023-09-12,1918.9
2023-09-14,1906.45
2023-09-18,1926.4
2023-09-20,1930.15
2023-09-22,1926.2
2023-09-26,1912.3
2023-09-28,1874.1
2023-10-02,1831.85
2023-10-04,1823.25
2023-10-06,1821.9
2023-10-10,1859.7
2023-10-12,1881.15
2023-10-16,1914.65
2023-10-18,1943.85
2023-10-20,1984.2
2023-10-24,1967.4
2023-10-26,1991.45
2023-10-30,1996.15
2023-11-01,1982.5
2023-11-03,1988.5
2023-11-07,1967.8
2023-11-09,1946.75
2023-11-13,1937.45
2023-11-15,1973.4
2023-11-17,1992.15
2023-11-21,1988.55
2023-11-23,1992.6
2023-11-27,2011.7
2023-11-29,2037.6
2023-12-01,2044.55
2023-12-05,2023.45
2023-12-07,2033.3
2023-12-11,1991.95
2023-12-13,1981.55
2023-12-15,2043.65
2023-12-19,2026
2023-12-21,2034.3
2023-12-27,2061.7
2023-12-29,2062.4
2024-01-02,2074.9
2024-01-04,2049.05
2024-01-08,2028
2024-01-10,2036.25
2024-01-12,2039.55
2024-01-16,2039.75
2024-01-18,2012.2
2024-01-22,2023.9
2024-01-24,2030.5
2024-01-26,2021.1
2024-01-30,2036.8
2024-02-01,2037.55
2024-02-05,2024.5
2024-02-07,2033.2
2024-02-09,2031.65
2024-02-13,2026.2
2024-02-15,1996.9
2024-02-19,2020.35
2024-02-21,2028.8
2024-02-23,2019.3
2024-02-27,2036
2024-02-29,2032.8
2024-03-04,2083.15
2024-03-06,2127.35
2024-03-08,2168.65
2024-03-12,2176.4
2024-03-14,2169.8
2024-03-18,2155.3
2024-03-20,2153.4
2024-03-22,2166.25
2024-03-26,2193.45
2024-03-28,2207
2024-04-03,2270.75
2024-04-05,2288.45
2024-04-09,2364.2
2024-04-11,2331.75
2024-04-15,2347.15
2024-04-17,2393.75
2024-04-19,2381.8
2024-04-23,2298.15
2024-04-25,2325.65
2024-04-29,2337.6
2024-05-01,2288.5
2024-05-03,2301.1
2024-05-07,2315
2024-05-09,2308.7
2024-05-13,2340.3
2024-05-15,2371.8
2024-05-17,2381.75
2024-05-21,2417.05
2024-05-23,2361.8
2024-05-29,2340.9
2024-05-31,2342.9
2024-06-04,2330.5
2024-06-06,2360.85
2024-06-10,2297.65
2024-06-12,2314.9
2024-06-14,2316.9
2024-06-18,2312.05
2024-06-20,2332.95
2024-06-24,2327.2
2024-06-26,2316.1
2024-06-28,2327.6
2024-07-02,2329
2024-07-04,2357.2
2024-07-08,2371.65
2024-07-10,2372.9
2024-07-12,2404.15
2024-07-16,2439.35
2024-07-18,2466.95
2024-07-22,2401.4
2024-07-24,2411.3
2024-07-26,2374.55
2024-07-30,2389.15
2024-08-01,2434
2024-08-05,2421.75
2024-08-07,2392.85
2024-08-09,2423.45
2024-08-13,2460.55
2024-08-15,2456.25
2024-08-19,2500.05
2024-08-21,2507.65
2024-08-23,2500.3
2024-08-27,2510.3
2024-08-29,2517.05
2024-09-02,2502
2024-09-04,2474.45
2024-09-06,2517.7
2024-09-10,2502.35
2024-09-12,2516.55
2024-09-16,2587.45
2024-09-18,2568.35
2024-09-20,2606.45
2024-09-24,2628.55
2024-09-26,2668.9
2024-09-30,2650.15
2024-10-02,2655.1
2024-10-04,2657.5
2024-10-08,2639.55
2024-10-10,2617.25
2024-10-14,2659
2024-10-16,2679.4
2024-10-18,2711.6
2024-10-22,2733.55
2024-10-24,2740
2024-10-28,2730.4
2024-10-30,2783.95
2024-11-01,2747.35
2024-11-05,2738.75
2024-11-07,2667.05
2024-11-11,2670.55
2024-11-13,2609.75
2024-11-15,2566.7
2024-11-19,2635.95
2024-11-21,2669.7
2024-11-25,2670.4
2024-11-27,2648
2024-11-29,2664.3
2024-12-03,2645.35
2024-12-05,2649.15
2024-12-09,2655.85
2024-12-11,2697.45
2024-12-13,2669.55
2024-12-17,2641.6
2024-12-19,2621.3
2024-12-23,2620.55
2024-12-27,2625.55
2024-12-31,2610.85
2025-01-02,2644.6
2025-01-06,2631.8
2025-01-08,2653.45
2025-01-10,2679.45
2025-01-14,2666.4
2025-01-16,2707.45
2025-01-20,2707.5
2025-01-22,2760.15
2025-01-24,2771.05
2025-01-28,2743.7
2025-01-30,2778.15
2025-02-03,2794.15
2025-02-05,2873.8
2025-02-07,2866.45
2025-02-11,2906.85
2025-02-13,2917.45
2025-02-17,2898.2
2025-02-19,2944.4
2025-02-21,2929.7
2025-02-25,2942.05
2025-02-27,2891.65
2025-03-03,2868.25
2025-03-05,2917.7
2025-03-07,2918.5
2025-03-11,2913.45
2025-03-13,2944.65
2025-03-17,2996.15
2025-03-19,3034
2025-03-21,3031.3
2025-03-25,3021.35
2025-03-27,3051.7
2025-03-31,3120.2
2025-04-02,3127.05
2025-04-04,3090.3
2025-04-08,3002.7
2025-04-10,3106.65
2025-04-14,3220.65
2025-04-16,3304.4
2025-04-22,3454.7
2025-04-24,3331.05
2025-04-28,3278.65
2025-04-30,3284.3
2025-05-02,3263.05
2025-05-06,3377.35
2025-05-08,3341.1
2025-05-12,3222.6
2025-05-14,3230.95
2025-05-16,3210.05
2025-05-20,3238.45
2025-05-22,3305.9
2025-05-28,3321.65
2025-05-30,3293.55
2025-06-03,3358.2
2025-06-05,3385.6
2025-06-09,3317.8
2025-06-11,3338.1
2025-06-13,3420.2
2025-06-17,3380.55
2025-06-19,3370.45
2025-06-23,3363
2025-06-25,3322.4
2025-06-27,3286.25
2025-07-01,3343.15
2025-07-03,3350
2025-07-07,3306
2025-07-09,3288.05
2025-07-11,3336.05
2025-07-15,3359.5
2025-07-17,3329.3
2025-07-21,3362.6
2025-07-23,3430.15
2025-07-25,3346.6
2025-07-29,3325
2025-07-31,3306.8
2025-08-04,3359.05
2025-08-06,3362.7
2025-08-08,3397.1
2025-08-12,3347.55
2025-08-14,3356.7
2025-08-18,3348.45
2025-08-20,3327.25
2025-08-22,3328.4
2025-08-26,3372.9
2025-08-28,3397.85
2025-09-01,3468.8
2025-09-03,3536.9
2025-09-05,3548.6
2025-09-09,3654.1
2025-09-11,3617.95
2025-09-15,3638.2
2025-09-17,3669.7
2025-09-19,3657.85
2025-09-23,3788.4
2025-09-25,3752.4
2025-09-29,3812.85
2025-10-01,3886.1
2025-10-03,3860.7
2025-10-07,3962.3
2025-10-09,4040.6
2025-10-13,4070.9
2025-10-15,4191.25
2025-10-17,4338.25
2025-10-21,4275.1
2025-10-23,4125.7
2025-10-27,4029.7
2025-10-29,4024.5
2025-10-31,4013.2
2025-11-04,3992.7
2025-11-06,4004.3
2025-11-10,4077.6
2025-11-12,4120.1
2025-11-14,4161.2
2025-11-18,4041.05
2025-11-20,4062.55
2025-11-24,4067.95
2025-11-26,4155.95
2025-11-28,4159.4
2025-12-02,4185.7
2025-12-04,4199.5
2025-12-08,4204.15
2025-12-10,4191.4
2025-12-12,4319.5
2025-12-16,4276.25
2025-12-18,4321.6
2025-12-22,4406.1
2025-12-24,4480.8
2025-12-30,4389.45
2026-01-05,4436.7
2026-01-07,4459.55
2026-01-09,4471.2
2026-01-13,4582.8
2026-01-15,4611.1
2026-01-19,4664.95
2026-01-21,4860.75
2026-01-23,4926.2
2026-01-27,5088.1
2026-01-29,5501.7
2026-02-02,4685.45
2026-02-04,5051.75
2026-02-06,4870.1
2026-02-10,5047.95
2026-02-12,5063.25
2026-02-16,5005.4
2026-02-18,4916.85
2026-02-20,5032.3
2026-02-24,5167.25
2026-02-26,5174.75
2026-03-02,5390.45
2026-03-04,5183.7
2026-03-06,5087.75
2026-03-10,5173.95
2026-03-12,5181.65
2026-03-16,4986.9
2026-03-18,4983.25
2026-03-20,4650.7
2026-03-24,4419.4
2026-03-26,4442.8
2026-03-30,4528.05
2026-04-01,4719.7
2026-04-07,4682.5
2026-04-09,4729.05
2026-04-13,4716.75
2026-04-15,4798.15
2026-04-16,4812.95
